File_A,File_B,Temporal_Coupling,Shared_Revisions
ObjectStream/ObjectStreamBinaryIn.cpp,ObjectStream/ObjectStreamBinaryOut.cpp,100%,6
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,88%,13
Physics/Collision/Shape/RotatedTranslatedShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,85%,14
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/DistanceConstraint.cpp,83%,6
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,81%,14
Physics/Vehicle/TrackedVehicleController.cpp,Physics/Vehicle/WheeledVehicleController.cpp,77%,18
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/CylinderShape.cpp,75%,19
ObjectStream/ObjectStreamBinaryIn.cpp,ObjectStream/ObjectStreamOut.cpp,71%,7
Physics/Collision/Shape/SphereShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,68%,18
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/SphereShape.cpp,66%,14
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,66%,14
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,66%,15
Physics/Constraints/SixDOFConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,66%,17
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,62%,15
Physics/Collision/Shape/ScaledShape.cpp,Physics/Collision/Shape/SphereShape.cpp,61%,13
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,61%,13
Physics/Constraints/PathConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,60%,12
Physics/Constraints/FixedConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,60%,12
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,60%,12
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/CapsuleShape.cpp,60%,15
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,60%,17
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,59%,14
Physics/Constraints/DistanceConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,58%,9
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,58%,9
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,58%,16
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/SphereShape.cpp,58%,17
Physics/Collision/Shape/RotatedTranslatedShape.cpp,Physics/Collision/Shape/SphereShape.cpp,57%,14
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,57%,14
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/SphereShape.cpp,57%,18
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,57%,18
Physics/Collision/Shape/Shape.cpp,Physics/Collision/Shape/SphereShape.cpp,57%,18
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/CylinderShape.cpp,57%,18
Physics/Collision/Shape/ScaledShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,57%,18
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,57%,19
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/SphereShape.cpp,56%,13
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,56%,16
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/HingeConstraint.cpp,55%,9
Physics/Constraints/DistanceConstraint.cpp,Physics/Constraints/HingeConstraint.cpp,55%,9
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,55%,15
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,55%,18
Physics/Collision/Shape/TaperedCapsuleShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,55%,18
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/ConvexHullShape.cpp,55%,18
Physics/Collision/Shape/RotatedTranslatedShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,54%,19
Physics/Constraints/SliderConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,53%,13
Physics/Collision/CastConvexVsTriangles.cpp,Physics/Collision/CollideConvexVsTriangles.cpp,52%,10
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,52%,17
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,52%,17
Physics/Collision/Shape/ScaledShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,51%,14
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,51%,18
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,51%,22
Physics/Collision/Shape/MutableCompoundShape.cpp,Physics/Collision/Shape/StaticCompoundShape.cpp,50%,12
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/PathConstraint.cpp,50%,12
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,50%,14
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,50%,18
Physics/Collision/Shape/Shape.cpp,Physics/Collision/Shape/TriangleShape.cpp,50%,22
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,50%,22
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,48%,17
Physics/Constraints/DistanceConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,47%,11
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,47%,11
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,47%,17
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/ConvexHullShape.cpp,47%,19
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,47%,34
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,46%,13
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/CylinderShape.cpp,46%,22
Physics/Collision/CastConvexVsTriangles.cpp,Physics/Collision/CastSphereVsTriangles.cpp,45%,11
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,45%,18
Physics/Constraints/PathConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,44%,14
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,44%,18
Physics/Collision/Shape/SphereShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,43%,12
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,43%,19
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/Shape.cpp,42%,19
Physics/Collision/Shape/BoxShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,41%,12
Physics/Constraints/PathConstraint.cpp,Physics/Constraints/SixDOFConstraint.cpp,41%,17
Physics/Collision/Shape/StaticCompoundShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,41%,17
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/SixDOFConstraint.cpp,41%,17
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,41%,17
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/Shape.cpp,41%,22
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/MeshShape.cpp,41%,34
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,40%,35
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/MeshShape.cpp,40%,47
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/Shape.cpp,38%,18
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/CompoundShape.cpp,38%,18
Physics/Collision/Shape/Shape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,38%,18
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/ConvexHullShape.cpp,38%,21
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,38%,21
Physics/Collision/Shape/TriangleShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,37%,16
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,37%,16
Physics/Collision/Shape/RotatedTranslatedShape.cpp,Physics/Collision/Shape/Shape.cpp,37%,19
Physics/Constraints/SixDOFConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,37%,19
Physics/Collision/Shape/ConvexShape.cpp,Physics/Collision/Shape/MutableCompoundShape.cpp,36%,17
Physics/Collision/Shape/ConvexShape.cpp,Physics/Collision/Shape/StaticCompoundShape.cpp,36%,17
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/SphereShape.cpp,36%,17
Physics/Collision/Shape/ConvexShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,36%,17
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/Shape.cpp,36%,22
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/SixDOFConstraint.cpp,35%,14
Physics/Constraints/DistanceConstraint.cpp,Physics/Constraints/SixDOFConstraint.cpp,35%,14
Physics/Collision/Shape/ConvexShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,35%,17
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/CompoundShape.cpp,35%,17
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/Shape.cpp,35%,17
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/StaticCompoundShape.cpp,35%,29
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/CylinderShape.cpp,34%,21
Physics/Collision/BroadPhase/BroadPhaseBruteForce.cpp,Physics/Collision/BroadPhase/BroadPhaseQuadTree.cpp,33%,15
Physics/Collision/Shape/ConvexShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,33%,18
Physics/Collision/Shape/CylinderShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,32%,16
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/HeightFieldShape.cpp,32%,31
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,31%,29
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,31%,29
Physics/Body/BodyManager.cpp,Physics/PhysicsSystem.cpp,31%,83
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/StaticCompoundShape.cpp,30%,30
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,30%,30
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,30%,30
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/MeshShape.cpp,30%,30
Physics/Collision/Shape/MutableCompoundShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,29%,17
Core/JobSystemThreadPool.cpp,Core/TickCounter.cpp,29%,21
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/ConvexShape.cpp,29%,21
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,29%,31
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,28%,32
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/HeightFieldShape.cpp,28%,32
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/MeshShape.cpp,27%,33
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/MeshShape.cpp,27%,33
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/MeshShape.cpp,26%,31
Physics/Collision/Shape/CylinderShape.cpp,Physics/Collision/Shape/HeightFieldShape.cpp,26%,35
Physics/Collision/Shape/ConvexHullShape.cpp,Physics/Collision/Shape/HeightFieldShape.cpp,25%,35
Physics/Collision/BroadPhase/QuadTree.cpp,Physics/Collision/Shape/StaticCompoundShape.cpp,24%,25
Physics/Vehicle/MotorcycleController.cpp,Physics/Vehicle/VehicleConstraint.cpp,23%,21
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,23%,30
Physics/Collision/Shape/HeightFieldShape.cpp,Physics/Collision/Shape/MutableCompoundShape.cpp,23%,30
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/HeightFieldShape.cpp,23%,34
Physics/Collision/Shape/MeshShape.cpp,Physics/SoftBody/SoftBodyShape.cpp,21%,28
Physics/Collision/Shape/MeshShape.cpp,Physics/Collision/Shape/MutableCompoundShape.cpp,21%,29
Physics/Collision/Shape/CompoundShape.cpp,Physics/SoftBody/SoftBodyMotionProperties.cpp,21%,33
Physics/Character/Character.cpp,Physics/Character/CharacterVirtual.cpp,21%,41
Physics/Collision/BroadPhase/QuadTree.cpp,Physics/Collision/Shape/MeshShape.cpp,21%,41
Physics/Collision/Shape/TaperedCapsuleShape.cpp,Physics/SoftBody/SoftBodyMotionProperties.cpp,20%,30
Physics/Collision/Shape/TriangleShape.cpp,Physics/SoftBody/SoftBodyMotionProperties.cpp,20%,34
